name,birth_date,age,gender,hometown,address,phone,exp_years
Lê Hữu Dũng,4/12/1969,57,Nam,Cần Thơ,"451 Hoàng Văn Thụ, Quận 3, TP. Hồ Chí Minh",78553353,26
Huỳnh Phương Quỳnh,6/6/1977,49,Nữ,Khánh Hòa,"417 Nguyễn Huệ, Ba Đình, Hà Nội",904329213,3
Nguyễn Bảo Ngân,10/25/1991,34,Nữ,Hải Phòng,"62 Lý Thường Kiệt, Trảng Bom, Đồng Nai",265778781,6
Trần Quốc An,8/1/1998,28,Nam,Huế,"528 Điện Biên Phủ, Hải Châu, Đà Nẵng",740662928,3
Phạm Kim Nhung,6/7/1976,50,Nữ,Bình Dương,"157 Phan Chu Trinh, Cẩm Phả, Quảng Ninh",347480944,15
Vũ Hoàng Anh,9/17/1973,53,Nam,Quảng Ninh,"473 Nguyễn Huệ, Đống Đa, Hà Nội",435132121,11
Phạm Mỹ My,1/17/1977,49,Nữ,Thanh Hóa,"49 Lê Lợi, Ninh Hòa, Khánh Hòa",889827051,23
Phan Bảo Quỳnh,5/22/1969,57,Nữ,Đồng Nai,"730 Lý Thường Kiệt, Vinh, Nghệ An",933314943,21
Phạm Gia An,3/19/1991,35,Nam,Khánh Hòa,"189 Hoàng Văn Thụ, Ô Môn, Cần Thơ",267026486,6
Vũ Hoàng Khang,9/14/1988,38,Nam,Khánh Hòa,"493 Nguyễn Trãi, Ba Đình, Hà Nội",294791206,2
Đỗ Thanh An,4/25/1992,34,Nam,Cần Thơ,"184 Trần Hưng Đạo, Kiến An, Hải Phòng",210212887,9
Phan Minh Hiếu,8/31/1997,29,Nam,Đồng Nai,"486 Trần Hưng Đạo, Sơn Trà, Đà Nẵng",376719937,4
Lý Trọng Minh,9/7/1991,35,Nam,TP. Hồ Chí Minh,"740 Nguyễn Trãi, Cái Răng, Cần Thơ",362030290,1
Đỗ Hữu An,4/26/1986,40,Nam,Hà Nội,"905 Trần Hưng Đạo, Thuận An, Bình Dương",985402794,12
Ngô Gia Khang,2/23/1979,47,Nam,Khánh Hòa,"674 Điện Biên Phủ, Thanh Khê, Đà Nẵng",424020344,13
Lê Quốc Minh,4/23/1969,57,Nam,Đồng Nai,"868 Lý Thường Kiệt, TP. Thanh Hóa, Thanh Hóa",892775719,4
Ngô Đức Anh,6/6/1974,52,Nam,Cần Thơ,"800 Nguyễn Huệ, Sầm Sơn, Thanh Hóa",406692624,11
Võ Khánh Hương,4/14/1995,31,Nữ,Thanh Hóa,"444 Lê Lợi, Diễn Châu, Nghệ An",519482983,8
Hoàng Hoàng Hải,7/8/1975,51,Nam,Cần Thơ,"596 Trần Hưng Đạo, TP. Thanh Hóa, Thanh Hóa",548808220,1
Dương Xuân An,10/30/1965,60,Nam,Khánh Hòa,"476 Phan Chu Trinh, Hạ Long, Quảng Ninh",766175527,32
Huỳnh Phương Lan,5/4/1982,44,Nữ,Đồng Nai,"161 Cách Mạng Tháng Tám, Quỳnh Lưu, Nghệ An",309287436,10
Dương Văn Việt,3/21/1994,32,Nam,Thanh Hóa,"989 Cách Mạng Tháng Tám, Nha Trang, Khánh Hòa",299743513,6
Huỳnh Bảo Nga,10/26/1980,45,Nữ,Đồng Nai,"46 Hoàng Văn Thụ, Kiến An, Hải Phòng",791385067,15
Hồ Gia Vinh,7/29/1985,41,Nam,Khánh Hòa,"3 Lý Thường Kiệt, Quận 7, TP. Hồ Chí Minh",807209838,13
Đặng Diệu Nga,1/30/1998,28,Nữ,Khánh Hòa,"177 Hoàng Văn Thụ, Trảng Bom, Đồng Nai",657559787,4
Võ Gia Đạt,3/12/1986,40,Nam,Đồng Nai,"358 Phan Chu Trinh, Cẩm Phả, Quảng Ninh",915086752,11
Phan Quốc Long,9/10/2000,26,Nam,Cần Thơ,"598 Lê Lợi, Sầm Sơn, Thanh Hóa",198268910,1
Lê Đức Hùng,10/9/1992,33,Nam,TP. Hồ Chí Minh,"182 Lý Thường Kiệt, Kiến An, Hải Phòng",344313357,1
Vũ Thanh Hiếu,6/10/1981,45,Nam,Quảng Ninh,"854 Trần Hưng Đạo, Vinh, Nghệ An",590631874,10
Võ Văn Anh,5/22/1980,46,Nam,Huế,"474 Hai Bà Trưng, Sơn Trà, Đà Nẵng",929699160,6
Bùi Ngọc Hà,3/16/1962,64,Nữ,Nghệ An,"468 Cách Mạng Tháng Tám, Sơn Trà, Đà Nẵng",660131059,40
Bùi Đức Quân,10/28/1989,36,Nam,Nghệ An,"468 Lý Thường Kiệt, Kiến An, Hải Phòng",319745224,1
Võ Diệu Ngân,3/1/1976,50,Nữ,Thanh Hóa,"744 Lý Thường Kiệt, Trảng Bom, Đồng Nai",490710303,16
Trần Kim Hạnh,3/29/1984,42,Nữ,Cần Thơ,"430 Phan Chu Trinh, Trảng Bom, Đồng Nai",470741470,17
Ngô Trọng Đức,3/21/1966,60,Nam,Thanh Hóa,"640 Lý Thường Kiệt, Uông Bí, Quảng Ninh",949475278,12
Lê Phương Mai,4/25/1992,34,Nữ,Thanh Hóa,"86 Lý Thường Kiệt, Trảng Bom, Đồng Nai",596196342,9
Hoàng Mỹ Linh,8/15/1965,61,Nữ,Quảng Ninh,"26 Phan Chu Trinh, Ninh Kiều, Cần Thơ",444650630,37
Ngô Khánh Yến,4/22/1978,48,Nữ,Hà Nội,"444 Hai Bà Trưng, Long Khánh, Đồng Nai",769284786,5
Phan Khánh Mai,5/30/1963,63,Nữ,Đồng Nai,"93 Điện Biên Phủ, Thuận An, Bình Dương",257286670,5
Phan Phương Trang,10/11/1999,26,Nữ,Cần Thơ,"802 Nguyễn Huệ, Lê Chân, Hải Phòng",53679202,3
Hoàng Diệu Lan,8/9/1991,35,Nữ,Quảng Ninh,"603 Hai Bà Trưng, Ba Đình, Hà Nội",139478904,2
Trần Quốc Đạt,9/24/1988,37,Nam,Hà Nội,"242 Điện Biên Phủ, Bình Thủy, Cần Thơ",545766086,9
Ngô Phương Vy,11/27/1972,53,Nữ,Cần Thơ,"217 Phan Chu Trinh, Dĩ An, Bình Dương",331414294,1
Huỳnh Thanh Long,3/4/1971,55,Nam,Khánh Hòa,"610 Cách Mạng Tháng Tám, Hai Bà Trưng, Hà Nội",629912094,12
Dương Thu Trang,11/15/1987,38,Nữ,Cần Thơ,"15 Nguyễn Trãi, Trảng Bom, Đồng Nai",687690333,11
Võ Xuân Khang,8/5/1987,39,Nam,Hà Nội,"161 Trần Hưng Đạo, Cẩm Phả, Quảng Ninh",986466224,10
Bùi Hoàng Đức,11/12/1991,34,Nam,Hà Nội,"127 Lý Thường Kiệt, Thuận An, Bình Dương",125201959,4
Huỳnh Thanh Nam,9/26/1983,42,Nam,Huế,"655 Nguyễn Huệ, Sầm Sơn, Thanh Hóa",179060851,16
Vũ Hữu Bình,2/14/1969,57,Nam,Bình Dương,"966 Cách Mạng Tháng Tám, Ngũ Hành Sơn, Đà Nẵng",401125802,34
Trần Trọng An,6/25/1979,47,Nam,Khánh Hòa,"127 Nguyễn Huệ, Dĩ An, Bình Dương",396241160,13
Đỗ Thu Nhung,12/25/1993,32,Nữ,Hà Nội,"246 Hai Bà Trưng, Gò Vấp, TP. Hồ Chí Minh",642825970,5
Dương Quốc Đức,9/29/1971,54,Nam,Hà Nội,"617 Nguyễn Trãi, Hồng Bàng, Hải Phòng",576036530,29
Đặng Diệu My,5/7/1983,43,Nữ,Bình Dương,"537 Hai Bà Trưng, Quận 7, TP. Hồ Chí Minh",561227919,20
Dương Bảo Giang,3/5/1973,53,Nữ,Nghệ An,"378 Phan Chu Trinh, Phú Xuân, Huế",316965797,17
Vũ Trọng Hải,8/1/1990,36,Nam,Bình Dương,"543 Hoàng Văn Thụ, Thuận Hóa, Huế",478304912,3
Lý Diệu My,6/26/1963,63,Nữ,Bình Dương,"489 Phan Chu Trinh, Trảng Bom, Đồng Nai",39939586,9
Hoàng Khánh Hương,3/21/1974,52,Nữ,TP. Hồ Chí Minh,"738 Phan Chu Trinh, Thuận An, Bình Dương",110208057,17
Lý Thị Trinh,8/12/1965,61,Nữ,Quảng Ninh,"225 Lê Lợi, Bỉm Sơn, Thanh Hóa",538181362,14
Hồ Ngọc Linh,7/4/1991,35,Nữ,Đà Nẵng,"729 Lý Thường Kiệt, Cam Ranh, Khánh Hòa",549163502,9
Dương Xuân Việt,12/25/1968,57,Nam,Hà Nội,"494 Lê Lợi, Sơn Trà, Đà Nẵng",784000353,5
Trần Phương Anh,10/28/1980,45,Nữ,Thanh Hóa,"213 Phan Chu Trinh, Ngô Quyền, Hải Phòng",846101317,18
Nguyễn Minh Anh,9/29/2000,25,Nam,TP. Hồ Chí Minh,"772 Nguyễn Trãi, Sơn Trà, Đà Nẵng",397498518,1
Phạm Xuân Phong,12/22/1970,55,Nam,Khánh Hòa,"344 Trần Hưng Đạo, Trảng Bom, Đồng Nai",766274954,28
Ngô Phương Thảo,11/2/1968,57,Nữ,Hà Nội,"279 Hoàng Văn Thụ, Nha Trang, Khánh Hòa",290571072,19
Lê Gia Đức,1/21/1993,33,Nam,TP. Hồ Chí Minh,"285 Hai Bà Trưng, Dĩ An, Bình Dương",970449891,2
Phạm Phương Hạnh,3/10/1976,50,Nữ,TP. Hồ Chí Minh,"476 Cách Mạng Tháng Tám, Ô Môn, Cần Thơ",420458637,19
Huỳnh Thu Trinh,3/18/1967,59,Nữ,Đồng Nai,"934 Lê Lợi, Hai Bà Trưng, Hà Nội",254381885,25
Trần Mỹ Hà,6/26/1974,52,Nữ,Nghệ An,"251 Hoàng Văn Thụ, Uông Bí, Quảng Ninh",518021910,5
Trần Hữu Vinh,9/2/1991,35,Nam,Quảng Ninh,"860 Nguyễn Huệ, Bình Thạnh, TP. Hồ Chí Minh",669324463,6
Trần Khánh Nhung,12/29/1981,44,Nữ,Đồng Nai,"416 Nguyễn Trãi, Kiến An, Hải Phòng",597116458,10
Bùi Gia Khang,1/1/1999,27,Nam,TP. Hồ Chí Minh,"182 Lê Lợi, Quận 1, TP. Hồ Chí Minh",173173851,1
Phạm Phương Trinh,7/16/1984,42,Nữ,Quảng Ninh,"573 Hoàng Văn Thụ, Ninh Hòa, Khánh Hòa",812036162,14
Phan Quốc Dũng,3/26/1994,32,Nam,TP. Hồ Chí Minh,"501 Phan Chu Trinh, Cầu Giấy, Hà Nội",892655199,3
Dương Phương Nhung,3/6/1982,44,Nữ,Hải Phòng,"889 Lý Thường Kiệt, Cái Răng, Cần Thơ",807715839,3
Lê Xuân Anh,3/22/1979,47,Nam,Bình Dương,"539 Điện Biên Phủ, Cẩm Phả, Quảng Ninh",3925650,1
Trần Thu Lan,4/13/1994,32,Nữ,Cần Thơ,"976 Trần Hưng Đạo, Thanh Khê, Đà Nẵng",917912064,2
Phan Phương Linh,6/28/1962,64,Nữ,Cần Thơ,"28 Phan Chu Trinh, Quận 7, TP. Hồ Chí Minh",616359067,27
Nguyễn Bảo Châu,1/11/1996,30,Nữ,Cần Thơ,"746 Điện Biên Phủ, Thanh Khê, Đà Nẵng",461306853,3
Trần Bảo Phương,12/22/1980,45,Nữ,Bình Dương,"202 Hai Bà Trưng, Biên Hòa, Đồng Nai",442390439,2
Huỳnh Thanh Trang,8/21/1977,49,Nữ,Bình Dương,"260 Cách Mạng Tháng Tám, Phú Xuân, Huế",674740027,4
Đỗ Diệu Châu,5/2/1994,32,Nữ,Đà Nẵng,"681 Nguyễn Trãi, Hạ Long, Quảng Ninh",971593392,7
Bùi Ngọc Vy,11/20/1992,33,Nữ,Khánh Hòa,"744 Nguyễn Trãi, Quận 7, TP. Hồ Chí Minh",927939177,6
Vũ Xuân Sơn,1/9/1962,64,Nam,Thanh Hóa,"136 Trần Hưng Đạo, Thanh Khê, Đà Nẵng",282306461,4
Hoàng Văn Hiếu,5/13/1987,39,Nam,Hải Phòng,"528 Cách Mạng Tháng Tám, Hồng Bàng, Hải Phòng",439893348,9
Vũ Ngọc Hương,9/22/1997,28,Nữ,Đà Nẵng,"424 Hoàng Văn Thụ, Quận 7, TP. Hồ Chí Minh",173290019,5
Võ Hoàng Sơn,10/16/1974,51,Nam,Hải Phòng,"671 Trần Hưng Đạo, Vinh, Nghệ An",625642396,13
Đỗ Phương Quỳnh,7/8/1993,33,Nữ,Khánh Hòa,"552 Trần Hưng Đạo, Hồng Bàng, Hải Phòng",762725374,3
Vũ Hoàng Tuấn,12/9/1990,35,Nam,Đà Nẵng,"699 Hoàng Văn Thụ, Dĩ An, Bình Dương",688063770,12
Hồ Hoàng Đạt,12/21/1977,48,Nam,Thanh Hóa,"626 Điện Biên Phủ, Thuận Hóa, Huế",597501832,14
Nguyễn Minh Thành,1/17/1967,59,Nam,Bình Dương,"926 Phan Chu Trinh, Trảng Bom, Đồng Nai",903246725,6
Phan Phương Mai,1/11/1968,58,Nữ,Cần Thơ,"345 Hoàng Văn Thụ, Thuận Hóa, Huế",886172728,16
Phạm Minh Việt,3/13/1989,37,Nam,Thanh Hóa,"296 Hai Bà Trưng, Cửa Lò, Nghệ An",977648535,14
Phạm Minh Việt,3/8/1968,58,Nam,Bình Dương,"141 Cách Mạng Tháng Tám, Uông Bí, Quảng Ninh",378102747,8
Hoàng Hoàng Đức,4/11/1970,56,Nam,Quảng Ninh,"765 Trần Hưng Đạo, Vinh, Nghệ An",912463385,29
Dương Ngọc Linh,1/16/1994,32,Nữ,Huế,"568 Hai Bà Trưng, Sơn Trà, Đà Nẵng",28961121,1
Huỳnh Mỹ Yến,4/5/1972,54,Nữ,Quảng Ninh,"833 Phan Chu Trinh, Quỳnh Lưu, Nghệ An",886317162,30
Dương Trọng Hiếu,1/9/1979,47,Nam,Khánh Hòa,"114 Cách Mạng Tháng Tám, Diễn Châu, Nghệ An",799532103,3
Vũ Văn Phong,2/13/1964,62,Nam,Hải Phòng,"750 Hai Bà Trưng, Cam Ranh, Khánh Hòa",936700139,39
Võ Phương Linh,1/1/1988,38,Nữ,Thanh Hóa,"889 Hoàng Văn Thụ, Long Khánh, Đồng Nai",813707975,15
Vũ Văn Phong,2/7/1978,48,Nam,Đà Nẵng,"192 Điện Biên Phủ, Trảng Bom, Đồng Nai",248914419,15
Phạm Thanh Bình,9/11/1963,63,Nam,Hà Nội,"253 Lý Thường Kiệt, Thuận Hóa, Huế",643787308,2
Đỗ Phương Ngân,6/22/1981,45,Nữ,Quảng Ninh,"179 Lý Thường Kiệt, Bình Thủy, Cần Thơ",398698918,21
Huỳnh Quốc Thành,2/29/2000,26,Nam,Hải Phòng,"922 Nguyễn Trãi, Trảng Bom, Đồng Nai",51331123,3
Hoàng Hoàng Khang,6/17/1995,31,Nam,Hải Phòng,"717 Nguyễn Trãi, Biên Hòa, Đồng Nai",837086648,5
Hoàng Văn Minh,11/21/1992,33,Nam,Hải Phòng,"73 Trần Hưng Đạo, Quận 1, TP. Hồ Chí Minh",284324760,3
Bùi Quốc Quân,12/10/1976,49,Nam,Bình Dương,"508 Điện Biên Phủ, Cửa Lò, Nghệ An",336250698,19
Phạm Xuân Hùng,7/5/1984,42,Nam,Bình Dương,"731 Lý Thường Kiệt, Quận 3, TP. Hồ Chí Minh",745990410,5
Bùi Mỹ Quỳnh,6/19/1970,56,Nữ,Bình Dương,"44 Lê Lợi, Ninh Kiều, Cần Thơ",375187281,23
